Detector Descriptor ImageID lidarTTC cameraTTC TTC_Difference
AKAZE BRIEF 17 9.54658 9.53873 0.0078494
AKAZE BRIEF 18 8.3988 9.20622 -0.807419
AKAZE ORB 1 12.5156 12.8277 -0.312088
AKAZE ORB 2 12.6142 14.4087 -1.79443
AKAZE ORB 3 14.091 13.0413 1.04975
AKAZE ORB 4 16.6894 13.9356 2.75375
AKAZE ORB 5 15.9082 16.0153 -0.107086
AKAZE ORB 6 12.6787 14.1156 -1.4369
AKAZE ORB 7 11.9844 15.778 -3.79365
AKAZE ORB 8 13.1241 14.2599 -1.13575
AKAZE ORB 9 13.0241 13.9095 -0.885367
AKAZE ORB 10 11.1746 11.3915 -0.216869
AKAZE ORB 11 12.8086 12.1498 0.658776
AKAZE ORB 12 8.95978 11.4123 -2.45249
AKAZE ORB 13 9.96439 10.6851 -0.720663
AKAZE ORB 14 9.59863 10.4216 -0.822964
AKAZE ORB 15 8.57352 9.66398 -1.09046
AKAZE ORB 16 9.51617 10.3611 -0.84496
AKAZE ORB 17 9.54658 9.1589 0.387682
AKAZE ORB 18 8.3988 8.9967 -0.597894
AKAZE FREAK 1 12.5156 12.773 -0.257369
AKAZE FREAK 2 12.6142 14.0761 -1.46188
AKAZE FREAK 3 14.091 13.8942 0.196785
AKAZE FREAK 4 16.6894 13.9647 2.72465
AKAZE FREAK 5 15.9082 15.0316 0.876612
AKAZE FREAK 6 12.6787 14.1362 -1.45751
AKAZE FREAK 7 11.9844 15.6936 -3.70921
AKAZE FREAK 8 13.1241 13.7666 -0.64252
AKAZE FREAK 9 13.0241 13.0676 -0.043516
AKAZE FREAK 10 11.1746 11.7429 -0.568244
AKAZE FREAK 11 12.8086 12.1757 0.632896
AKAZE FREAK 12 8.95978 10.8273 -1.86748
AKAZE FREAK 13 9.96439 10.8645 -0.900091
AKAZE FREAK 14 9.59863 9.97189 -0.373263
AKAZE FREAK 15 8.57352 9.27371 -0.700188
AKAZE FREAK 16 9.51617 9.81256 -0.296389
AKAZE FREAK 17 9.54658 9.57175 -0.025166
AKAZE FREAK 18 8.3988 8.91982 -0.521016
AKAZE AKAZE 1 12.5156 12.455 0.0606346
AKAZE AKAZE 2 12.6142 14.7901 -2.17585
AKAZE AKAZE 3 14.091 12.949 1.14198
AKAZE AKAZE 4 16.6894 14.6156 2.07382
AKAZE AKAZE 5 15.9082 16.4067 -0.498478
AKAZE AKAZE 6 12.6787 13.2446 -0.565913
AKAZE AKAZE 7 11.9844 15.2119 -3.22755
AKAZE AKAZE 8 13.1241 14.5564 -1.43233
AKAZE AKAZE 9 13.0241 14.1308 -1.10665
AKAZE AKAZE 10 11.1746 11.5881 -0.413504
AKAZE AKAZE 11 12.8086 12.1869 0.62174
AKAZE AKAZE 12 8.95978 11.274 -2.31422
AKAZE AKAZE 13 9.96439 10.6701 -0.705689
AKAZE AKAZE 14 9.59863 10.4339 -0.835318
AKAZE AKAZE 15 8.57352 10.5929 -2.01934
AKAZE AKAZE 16 9.51617 10.0928 -0.57662
AKAZE AKAZE 17 9.54658 9.35868 0.187904
AKAZE AKAZE 18 8.3988 9.00572 -0.606915
SIFT BRISK 1 12.5156 13.3321 -0.816512
SIFT BRISK 2 12.6142 12.8707 -0.256488
SIFT BRISK 3 14.091 12.6477 1.44328
SIFT BRISK 4 16.6894 21.5634 -4.87398
SIFT BRISK 5 15.9082 17.936 -2.02777
SIFT BRISK 6 12.6787 10.5112 2.16751
SIFT BRISK 7 11.9844 14.6191 -2.63472
SIFT BRISK 8 13.1241 12.372 0.752113
SIFT BRISK 9 13.0241 13.3508 -0.326633
SIFT BRISK 10 11.1746 10.0383 1.13635
SIFT BRISK 11 12.8086 10.8959 1.91271
SIFT BRISK 12 8.95978 10.5866 -1.62687
SIFT BRISK 13 9.96439 9.49133 0.473061
SIFT BRISK 14 9.59863 10.6436 -1.04495
SIFT BRISK 15 8.57352 9.48275 -0.909229
SIFT BRISK 16 9.51617 9.64474 -0.128571
SIFT BRISK 17 9.54658 9.09319 0.453394
SIFT BRISK 18 8.3988 9.31301 -0.914203
SIFT BRIEF 1 12.5156 12.0691 0.446519
SIFT BRIEF 2 12.6142 12.6771 -0.0628181
SIFT BRIEF 3 14.091 13.9147 0.176325
SIFT BRIEF 4 16.6894 21.5634 -4.87398
SIFT BRIEF 5 15.9082 14.1642 1.74398
SIFT BRIEF 6 12.6787 11.063 1.61568
SIFT BRIEF 7 11.9844 13.1317 -1.14731
SIFT BRIEF 8 13.1241 16.1715 -3.04735
